Titre_poste,Lieu,Type_contrat,Date_publication,secteur,competences,Type_contrat_regroupe
Agent escale,"Dakar, Sénégal",CDI/CDD,,Transport et Logistique,Non spécifié,CDI/CDD
Chauffeur VTC (YANGO),Sénégal,Freelance,,Transport et Logistique,Non spécifié,Freelance
Agent d’Inventaire de Stock Bilingue,"Sindia, Mbour, Sénégal",CDD,,Transport et Logistique,Non spécifié,CDD
Agent Commercial,"Médina, Dakar, Sénégal",Stage,,Transport et Logistique,Non spécifié,Stage
SPA Manager – Prestation – Dakar,Dakar,Prestation de Services,2025-06-12,Mode – Beauté – Luxe,1 an | Licence professionnelle | Technicien supérieur,Prestation de Services
International Recruiter – Freelancer – Dakar,Dakar,Freelance,2025-05-28,Services,3 ans | Licence professionnelle | Technicien supérieur,Freelance
Chargé de Clientèle Bilingue (Français-Anglais) – Stage – Dakar,Dakar,Stage,2025-05-28,Services,Débutant | BTS | Technicien supérieur,Stage
Directeur de Travaux – CDD – Dakar,Dakar,CDD,2025-05-28,Immobilier & BTP,5 ans | Master 2 | Cadre Dirigeant,CDD
Ingénieur OPC – CDD – Dakar,Dakar,CDD,2025-05-28,Immobilier & BTP,5 ans | Licence professionnelle | Cadre,CDD
Business Developper – Prestation – Dakar,Dakar,Prestation de Services,2025-05-26,Services,2 ans | Licence professionnelle | Technicien supérieur,Prestation de Services
Technicien / Projeteur – CDD/CDI – Dakar,Dakar,CDI/CDD,2025-05-26,Énergie,3 ans | BTS | Technicien,CDI/CDD
Restaurant Manager – CDD/CDI – Dakar,Dakar,CDD,2025-05-23,Sport – Tourisme – Loisirs,2 ans | Licence professionnelle | Cadre,CDD
Chargé d’Études Fluides Génie Climatique – CDD – Dakar,Dakar,CDI/CDD,2025-05-22,Énergie,3 ans | BTS | Technicien supérieur,CDI/CDD
Stagiaire en Moyens Généraux – Dakar,Dakar,Stage,2025-05-14,Services,Débutant | DTS | Stagiaire,Stage
Stagiaire en Moyens Généraux - Dakar,Dakar,Stage,2025-06-12,Stage / Formation,Maintenance industrielle - Production - Qualité,Stage
Recruteur International - Freelance (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,Freelance,2025-06-12,Non spécifié,Ressources humaines - Formation,Freelance
Consultante Clientèle Italienne et Française - Dakar,Dakar,Stage,2025-06-12,Informatique-Technologie,Marketing - Communication - Vente,Stage
Conseiller Client Hispanophone et Francophone - Dakar,Dakar,Stage,2025-06-12,Non spécifié,Marketing - Communication - Vente,Stage
Conseillère Clientèle Germanophone et Francophone - Dakar,Dakar,Stage,2025-06-12,Non spécifié,Marketing - Communication - Vente,Stage
Chargé de Clientèle Bilingue (Français-Anglais) - Dakar,Dakar,Stage,2025-06-12,Non spécifié,Vente,Stage
Commercial Technique (H/F) - Sénégal,Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDD,2025-06-12,Non spécifié,Maintenance industrielle - Production - Qualité,CDD
Infirmière Stagiaire - Dakar,Dakar,Stage,2025-06-12,Stage / Formation,Santé - Soins médicaux,Stage
Responsable Artistique (H/F) - Dakar,Dakar,CDI,2025-06-12,Non spécifié,Communication - Arts créatifs,CDI
Ingénieur Test et Mise en Service (T&C) - Systèmes Ferroviaires - Abidjan,International,CDI/CDD,2025-06-12,Non spécifié,Transport,CDI/CDD
Coordinateur des Achats - Dakar,Dakar,CDD,2025-06-12,Non spécifié,Achats - Logistique,CDD
Télévendeur - Dakar,Dakar,CDD/Freelance,2025-06-12,Non spécifié,BTP - Énergie - Vente,CDD/Freelance
"Assistant(e) Administratif(ve) et Financier(ère) - Palmarin, Arrondissement de Fimela",Fatick,CDD,2025-06-12,Support administratif,Gestion - Finance - Administration,CDD
Téléconseiller - Saint-Louis,Saint-Louis,Stage,2025-06-11,Non spécifié,Vente,Stage
Développeur Wordpress - Dakar,Dakar,CDI/Freelance,2025-06-10,Informatique-Technologie,Développement web - Design,CDI/Freelance
"Développeur Web Full Stack et Applications (Poste en présentiel) - Grand Dakar, Sénégal",Dakar,CDI,2025-06-10,Informatique-Technologie,Développement web - Bases de données - Programmation,CDI
Business Developer - Dakar,Dakar,CDI,2025-06-09,Non spécifié,Marketing - Vente - Communication,CDI
Commercial(e) Grands Comptes - Dakar,Dakar,CDI/Freelance,2025-06-09,Non spécifié,CRM - Vente,CDI/Freelance
Technicien de Maintenance - France,International,CDI,2025-06-09,Non spécifié,Maintenance industrielle - Automatisation,CDI
Chauffeur Livreur Tricycle - Dakar,Dakar,CDD,2025-06-07,Non spécifié,Logistique - Relation client,CDD
Technicien(ne) de Maintenance (H/F) - France,International,CDI,2025-06-06,Non spécifié,Maintenance industrielle - Production,CDI
Coordinateur des Partenariats - Dakar,Dakar,CDI,2025-06-06,Non spécifié,Santé,CDI
Alternant(e) Technico-Commercial(e) BtoB - BTECH024 - Fontenay-sous-Bois,Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,Alternance,2025-06-06,Non spécifié,Gestion - Finance - Vente,Alternance
Commercial(e) Télévendeur(euse) - Dakar,Dakar,CDI/Freelance,2025-06-05,Non spécifié,Marketing - Communication,CDI/Freelance
